# Client names that misspell a much more common one; built by week04_names_check.py --build-merges. Delete a row to undo a merge.
variant,target,variant_filings,target_filings,score
EXCELLUS HEATH PLAN,EXCELLUS HEALTH PLAN,1,73,97.4
UNITEDHEALTHGROUP OPTUM,UNITED HEALTH GROUP OPTUM,1,73,95.8
QUADRANT RESOURCES,QUADRANT RESOURCE,5,72,97.1
ONE AMERICA FINANCIAL PARTNERS,ONEAMERICA FINANCIAL PARTNERS,3,72,98.3
ST JUDE CHILDRENS RESEARCH HOSPITAL,ST JUDE CHILDREN S RESEARCH HOSPITAL,3,72,98.6
ST JUDE CHILDREN RESEARCH HOSPITAL,ST JUDE CHILDREN S RESEARCH HOSPITAL,3,72,97.1
ONEAMERICA FINANCIAL PARTNER,ONEAMERICA FINANCIAL PARTNERS,1,72,98.2
ONE AMERICAN FINANCIAL PARTNERS,ONEAMERICA FINANCIAL PARTNERS,1,72,96.7
ST JUDE CHILDREN S RESEARCH HOSPITA,ST JUDE CHILDREN S RESEARCH HOSPITAL,1,72,98.6
TENET HEALTH CARE,TENET HEALTHCARE,3,71,97.0
FREEPORT MC MORAN,FREEPORT MCMORAN,2,71,97.0
FREEPORT MACMORAN,FREEPORT MCMORAN,1,71,97.0
FREEPORT MCMORRAN,FREEPORT MCMORAN,1,71,97.0
GLAXO SMITH KLINE SERVICES UNLIMITED,GLAXOSMITHKLINE SERVICES UNLIMITED,1,71,97.1
UNITED NATURAL FOOD,UNITED NATURAL FOODS,1,71,97.4
ANTHENE ANNUITY AND LIFE,ATHENE ANNUITY AND LIFE,1,71,97.9
INTEGRA LIFE SCIENCE,INTEGRA LIFESCIENCES,3,70,95.0
INTEGRA LIFESCIENCE,INTEGRA LIFESCIENCES,2,70,97.4
TEACHERS INSURANCE ANNUITY ASSOCIATION TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION TIAA,1,70,95.6
AMERICAN AUTOMOBILE ASSOCIATIONS,AMERICAN AUTOMOBILE ASSOCIATION,1,70,98.4
AMERICAN AUTOMOBLIE ASSOCIATION,AMERICAN AUTOMOBILE ASSOCIATION,1,70,96.8
CHILDREN S HOSPITAL OF PHILADELPIA,CHILDREN S HOSPITAL OF PHILADELPHIA,1,70,98.6
INTEGRA LIFESCIECNES,INTEGRA LIFESCIENCES,1,70,95.0
BJS WHOLESALE CLUB,BJ S WHOLESALE CLUB,7,69,97.3
ARMY AND AIRFORCE EXCHANGE SERVICE,ARMY AND AIR FORCE EXCHANGE SERVICE,6,69,98.6
ARMY AND AIRFORCE EXCHANGE SERVICES,ARMY AND AIR FORCE EXCHANGE SERVICE,2,69,97.1
ALNLAM PHARMACEUTICALS,ALNYLAM PHARMACEUTICALS,1,69,97.8
ABBOTCT DIABETES CARE,ABBOTT DIABETES CARE,1,69,97.6
ABBOTT DIAB TES CARE,ABBOTT DIABETES CARE,1,69,95.0
BJ S WHOLE SALE CLUB,BJ S WHOLESALE CLUB,1,69,97.4
ADVENTHHEALTH INFORMATION TECHONOLOGY,ADVENTHEALTH INFORMATION TECHNOLOGY,1,69,97.2
THOMSON REUTERS ENTERPRISE CENTER GMBH,THOMSON REUTERS ENTERPRISE CENTRE GMBH,5,68,97.4
TERUMO MEDICALS,TERUMO MEDICAL,3,68,96.6
NEWYORK LIFE,NEW YORK LIFE,3,68,96.0
POINT32 HEALTH,POINT32HEALTH,3,68,96.3
DENSON INTERNATIONAL AMERICA,DENSO INTERNATIONAL AMERICA,1,68,98.2
UPMC HEALTHPLAN,UPMC HEALTH PLAN,1,68,96.8
POINT 32HEALTH,POINT32HEALTH,1,68,96.3
OCHSNER LSU HEALTH ST MARY S MEDICAL CENTER,OCHSNER LSU HEALTH ST MARY MEDICAL CENTER,1,68,97.6
ARIZONA PUBLIC SERVICES,ARIZONA PUBLIC SERVICE,10,67,97.8
CALIBER HOME LOAN,CALIBER HOME LOANS,7,67,97.1
SYSTEMSOFT TECHNOLOGIES,SYSTEM SOFT TECHNOLOGIES,5,67,97.9
AUTO OWNER S INSURANCE,AUTO OWNERS INSURANCE,3,67,97.7
BAKER HUGHES OLIFIELD OPERATIONS,BAKER HUGHES OILFIELD OPERATIONS,1,67,96.9
MAGNA ELECTRONIC,MAGNA ELECTRONICS,1,67,97.0
EDUCATIONAL TESTING SERVICES ETS,EDUCATIONAL TESTING SERVICE ETS,7,66,98.4
PETITIONER BRANCH OFFICE,PETITIONER S BRANCH OFFICE,6,66,96.0
ADVANCED AUTO PARTS,ADVANCE AUTO PARTS,5,66,97.3
SYNEOSHEALTH,SYNEOS HEALTH,2,66,96.0
ASSOCIATION OF AMERICAN MEDICAL COLLEGE,ASSOCIATION OF AMERICAN MEDICAL COLLEGES,2,66,98.7
TEXAS COMPTROLLER OF PUBLIC ACCOUNT,TEXAS COMPTROLLER OF PUBLIC ACCOUNTS,2,66,98.6
TEXAS COMPTROLLER PUBLIC ACCOUNTS,TEXAS COMPTROLLER OF PUBLIC ACCOUNTS,1,66,95.7
HAWAIIN AIRLINES,HAWAIIAN AIRLINES,1,66,97.0
EDUCATION TESTING SERVICE ETS,EDUCATIONAL TESTING SERVICE ETS,1,66,96.7
EDUCATION TESTING SERVICES ETS,EDUCATIONAL TESTING SERVICE ETS,1,66,95.1
GM GLOBAL TECHNOLOGY OPERATION,GM GLOBAL TECHNOLOGY OPERATIONS,1,66,98.4
SANDIEGO GAS AND ELECTRIC,SAN DIEGO GAS AND ELECTRIC,2,65,98.0
BRIGHAM AND WOMEN S HOPSITAL,BRIGHAM AND WOMEN S HOSPITAL,1,65,96.4
BRIGHAM AND WOMEN S HOSPTIAL,BRIGHAM AND WOMEN S HOSPITAL,1,65,96.4
MASSACHUSETTS MUTUAL LIFEINSURANCE,MASSACHUSETTS MUTUAL LIFE INSURANCE,1,65,98.6
OPTUMTECHNOLOGY,OPTUM TECHNOLOGY,1,65,96.8
OPTUM TECHOLOGY,OPTUM TECHNOLOGY,1,65,96.8
COLLEGEBOARD,COLLEGE BOARD,1,64,96.0
UT PHYSICANS,UT PHYSICIANS,1,64,96.0
NASA S GODDARD SPACE FLIGHT CENTER,NASA GODDARD SPACE FLIGHT CENTER,6,63,97.0
CARMAX BUSINESS SERVICE,CARMAX BUSINESS SERVICES,2,63,97.9
WARNER MEDIAS,WARNER MEDIA,2,63,96.0
COSTCOTRAVEL,COSTCO TRAVEL,1,63,96.0
FUJI FILM DIOSYNTH BIOTECHNOLOGIES,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,1,63,98.5
FUJIFILM S DIOSYNTH BIOTECHNOLOGIES,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,1,63,97.1
FUJU FILM DIOSYNTH BIOTECHNOLOGIES,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,1,63,95.5
VERRAMOBILITY,VERRA MOBILITY,1,63,96.3
VOYA FINANCIALS,VOYA FINANCIAL,12,62,96.6
COUNTRY FINANCIALS,COUNTRY FINANCIAL,7,62,97.1
NEW YORK STATE OFFICE OF MENTAL HEALTH OMH,NEW YORK STATE OFFICE OF MENTAL HEALTH,7,62,95.0
PROGRESSIVE CASUALITY INSURANCE,PROGRESSIVE CASUALTY INSURANCE,1,62,98.4
PROGRESSIVE CASUALLTY INSURANCE,PROGRESSIVE CASUALTY INSURANCE,1,62,98.4
PROGESSIVE CASUALTY INSURANCE,PROGRESSIVE CASUALTY INSURANCE,1,62,98.3
FLORIDA DEPARMENT OF CORRECTIONS,FLORIDA DEPARTMENT OF CORRECTIONS,1,62,98.5
FLORIDA DEPARTMENT CORRECTIONS,FLORIDA DEPARTMENT OF CORRECTIONS,1,62,95.2
ANALOG DEVICE,ANALOG DEVICES,1,62,96.3
NEW YORK STATE OFFICE OF MENTAL HEALTH ITS,NEW YORK STATE OFFICE OF MENTAL HEALTH,1,62,95.0
FIDELITY TALENTSOURCE INVESTMENT,FIDELITY TALENT SOURCE INVESTMENT,9,61,98.5
FIDELITY TALENT SOURCE INVESTMENTS,FIDELITY TALENT SOURCE INVESTMENT,4,61,98.5
CHICAGO MERCHANTILE EXCHANGE,CHICAGO MERCANTILE EXCHANGE,1,61,98.2
CLEVELAND CLINIC ASKRON GENERAL,CLEVELAND CLINIC AKRON GENERAL,1,61,98.4
SOFTWARENINE,SOFTWARE NINE,1,61,96.0
FIDELITY TALENTSOURCE INVESTMENTS,FIDELITY TALENT SOURCE INVESTMENT,1,61,97.0
HARRIS HEALTH SYSTEMS,HARRIS HEALTH SYSTEM,1,61,97.6
WARNERBROS DISCOVERY,WARNER BROS DISCOVERY,4,60,97.6
AMERICA HONDA MOTOR,AMERICAN HONDA MOTORS,2,60,95.0
FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION DEP,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,2,60,95.8
GEORGIA DEPARTMENT OF LABOUR,GEORGIA DEPARTMENT OF LABOR,1,60,98.2
GEORGIA DEPARTMENT OF LABO,GEORGIA DEPARTMENT OF LABOR,1,60,98.1
FLORIDA DEPARTMENT OF ENVIRONMENT PROTECTION,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,1,60,97.8
WARNER BRO DISCOVERY,WARNER BROS DISCOVERY,1,60,97.6
EXELON BUSINESS SERVICE,EXELON BUSINESS SERVICES,2,59,97.9
DIAMLER TRUCK NORTH AMERICA,DAIMLER TRUCK NORTH AMERICA,2,59,96.3
DAIMLER TRUCK NORTH AMERICAN,DAIMLER TRUCK NORTH AMERICA,1,59,98.2
DAIMLER TRUCK NORTH AMERICE,DAIMLER TRUCK NORTH AMERICA,1,59,96.3
BHP BILLITON PETROLEUM DEEP WATER,BHP BILLITON PETROLEUM DEEPWATER,1,59,98.5
STAFFORD HEALTH CARE,STANFORD HEALTH CARE,5,58,95.0
MGM RESORT INTERNATIONAL,MGM RESORTS INTERNATIONAL,2,58,98.0
TAILORED BRAND,TAILORED BRANDS,2,58,96.6
CHUBBS INSURANCE,CHUBB INSURANCE,1,58,96.8
MICHAELS STORE,MICHAELS STORES,1,58,96.6
NATIONAL RAILROAD PASSENGER CORPORATION AMTRACK,NATIONAL RAILROAD PASSENGER CORPORATION AMTRAK,1,58,98.9
STANDFORD HEALTH CARE,STANFORD HEALTH CARE,1,58,97.6
USPS SUPPLY CHAIN SOLUTIONS,UPS SUPPLY CHAIN SOLUTIONS,1,58,98.1
BLUE TRITON BRANDS,BLUETRITON BRANDS,10,57,97.1
NYS OFFICE OF INFORMATION TECHNOLOGY AND SERVICES,NYS OFFICE OF INFORMATION TECHNOLOGY SERVICES,6,57,95.7
TOYOTA MATERIALS HANDLING,TOYOTA MATERIAL HANDLING,4,57,98.0
NYS OFFICE OF INFORMATION TECHNOLOGY SERVICE,NYS OFFICE OF INFORMATION TECHNOLOGY SERVICES,3,57,98.9
NYS OFFICE INFORMATION TECHNOLOGY SERVICES,NYS OFFICE OF INFORMATION TECHNOLOGY SERVICES,2,57,96.6
VETERANS AFFAIRS PORTLAND HEALTHCARE SYSTEM,VETERANS AFFAIRS PORTLAND HEALTH CARE SYSTEM,1,57,98.9
NYS OFFICE OF INFORMATION TECHNOLOGY SERVICESD,NYS OFFICE OF INFORMATION TECHNOLOGY SERVICES,1,57,98.9
NYC OFFICE OF INFORMATION TECHNOLOGY SERVICES,NYS OFFICE OF INFORMATION TECHNOLOGY SERVICES,1,57,97.8
NYS OFFICE OF INFORMATION TECHNOLOGY SERVICES IES,NYS OFFICE OF INFORMATION TECHNOLOGY SERVICES,1,57,95.7
PENNSYLVANIA DEPARTMENT OF TRANSPORTATIO,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,1,57,98.8
CARNIVAL CRUISE LINER,CARNIVAL CRUISE LINE,1,57,97.6
CARNIVAL CRUISELINE,CARNIVAL CRUISE LINE,1,57,97.4
TEXAS HEALTH AND HUMANS SERVICES,TEXAS HEALTH AND HUMAN SERVICES,2,56,98.4
KARSUN SOLUTION,KARSUN SOLUTIONS,1,56,96.8
BERKSHIRE HATHAWAY HOME STATE COMPANIES,BERKSHIRE HATHAWAY HOMESTATE COMPANIES,1,56,98.7
DEPARTMENT OF LABOUR,DEPARTMENT OF LABOR,1,56,97.4
TEXAS HEALTH AND HUMAN SERVICE,TEXAS HEALTH AND HUMAN SERVICES,1,56,98.4
PENNSYLVANIA TURNPIKE COMMISION,PENNSYLVANIA TURNPIKE COMMISSION,1,56,98.4
HILTON GRAND VACATION,HILTON GRAND VACATIONS,6,55,97.7
MET LIFE INSURANCE,METLIFE INSURANCE,5,55,97.1
BLUE CROSS BLUE SHIELD FLORIDA,BLUE CROSS BLUE SHIELD OF FLORIDA,3,55,95.2
ROYAL CARIBBEAN CRUISE,ROYAL CARIBBEAN CRUISES,3,55,97.8
BOEING DISTRIBUTION SERVICE,BOEING DISTRIBUTION SERVICES,3,55,98.2
UNIVERSAL SERVICES ADMINISTRATIVE,UNIVERSAL SERVICE ADMINISTRATIVE,3,55,98.5
BERKSHIRE HATHAWAY SPECIALITY INSURANCE,BERKSHIRE HATHAWAY SPECIALTY INSURANCE,3,55,98.7
WEYER HAEUSER,WEYERHAEUSER,2,55,96.0
FOOD AND DRUGS ADMINISTRATION,FOOD AND DRUG ADMINISTRATION,2,55,98.2
BLUE CROSS BLUE SHIELDS OF FLORIDA,BLUE CROSS BLUE SHIELD OF FLORIDA,1,55,98.5
NATIONAL INSTITUTES OF HEALTH NICHD,NATIONAL INSTITUTES OF HEALTH NIH,1,55,97.1
ROYAL CARRIBBEAN CRUISES,ROYAL CARIBBEAN CRUISES,1,55,97.9
UNIVERSAL SERVICE ADMINSTRATIVE,UNIVERSAL SERVICE ADMINISTRATIVE,1,55,98.4
INTERNATION FLAVORS AND FRAGANCES,INTERNATIONAL FLAVORS AND FRAGRANCES,1,55,95.7
BERKSHIRE HATHWAY SPECIALITY INSURANCE,BERKSHIRE HATHAWAY SPECIALTY INSURANCE,1,55,97.4
STATE OF CALIFORNIA FRANCHISE TAX BOARD FTB,STATE OF CALIFORNIA FRANCHISE TAX BOARD,5,54,95.1
OHIO DEPARTMENT OF JOBS AND FAMILY SERVICES,OHIO DEPARTMENT OF JOB AND FAMILY SERVICES,4,54,98.8
COMMON WEALTH OF PENNSYLVANIA,COMMONWEALTH OF PENNSYLVANIA,3,54,98.2
JFS OHIO DEPARTMENT OF JOB AND FAMILY SERVICES,OHIO DEPARTMENT OF JOB AND FAMILY SERVICES,1,54,95.5
STATE OF CALIFRONIA FRANCHISE TAX BOARD,STATE OF CALIFORNIA FRANCHISE TAX BOARD,1,54,97.4
KENT COUNT MEMORIAL HOSPITAL,KENT COUNTY MEMORIAL HOSPITAL,1,54,98.2
CLEVELAND CLINIC AVON HOSPITTAL,CLEVELAND CLINIC AVON HOSPITAL,1,54,98.4
NOVARTIS PHARMACEUTICAL,NOVARTIS PHARMACEUTICALS,9,53,97.9
REGALCARE REHABILITATION,REGAL CARE REHABILITATION,9,53,98.0
PIKE ENTERPRISE,PIKE ENTERPRISES,6,53,96.8
VOLVO TRUCK NORTH AMERICA,VOLVO TRUCKS NORTH AMERICA,3,53,98.0
BMW MANUFACTURIING,BMW MANUFACTURING,1,53,97.1
EASTWEST BANK,EAST WEST BANK,1,53,96.3
DAIKIN APPLIED AMERICA,DAIKIN APPLIED AMERICAS,3,52,97.8
MGM RESORTS INTERNATIONALOPERATIONS,MGM RESORTS INTERNATIONAL OPERATIONS,2,52,98.6
TEXAS DEPARTMENT OF FAMILY PROTECTIVE SERVICES,TEXAS DEPARTMENT OF FAMILY AND PROTECTIVE SERVICES,2,52,95.8
FEDERAL AVIATION ADMINITRATION,FEDERAL AVIATION ADMINISTRATION,1,52,98.4
MERCUERY INSURANCE SERVICES,MERCURY INSURANCE SERVICES,1,52,98.1
DAIKIN APPLIED AMERICS,DAIKIN APPLIED AMERICAS,1,52,97.8
CONDUENT BUSINESS SERVICE,CONDUENT BUSINESS SERVICES,1,52,98.0
CARE FIRST BCBS,CAREFIRST BCBS,7,51,96.6
GENWORTH FINANCIALS,GENWORTH FINANCIAL,4,51,97.3
TOTAL SYSTEMS SERVICES,TOTAL SYSTEM SERVICES,2,51,97.7
VIRGINIA DEPARTMENT OF TRANSPORTATION DOT,VIRGINIA DEPARTMENT OF TRANSPORTATION VDOT,2,51,98.8
E TRADE FINANCIALS,E TRADE FINANCIAL,1,51,97.1
GUARDIANS LIFE INSURANCE,GUARDIAN LIFE INSURANCE,1,51,97.9
GAURDIAN LIFE INSURANCE,GUARDIAN LIFE INSURANCE,1,51,95.7
CLEFVELAND CLINIC SOUTH POINTE HOSPITAL,CLEVELAND CLINIC SOUTH POINTE HOSPITAL,1,51,98.7
CLEVELAND CLINIC SOUTHPOINTE HOSPITAL,CLEVELAND CLINIC SOUTH POINTE HOSPITAL,1,51,98.7
CLEMENT J ZABLOCKI VETERAN AFFAIRS MEDICAL CENTER,CLEMENT J ZABLOCKI VETERANS AFFAIRS MEDICAL CENTER,1,51,99.0
CLEMENT J ZABOCKI VETERANS AFFAIRS MEDICAL CENTER,CLEMENT J ZABLOCKI VETERANS AFFAIRS MEDICAL CENTER,1,51,99.0
CALIFORNIA DEPARTMENT OF HEALTHCARE SERVICES,CALIFORNIA DEPARTMENT OF HEALTH CARE SERVICES,8,50,98.9
CLEVELAND CLINIC LUTHERAN HOSPTIAL,CLEVELAND CLINIC LUTHERAN HOSPITAL,4,50,97.1
EDWARD LIFE SCIENCES,EDWARDS LIFESCIENCES,3,50,95.0
OLHS ST MARY S MEDICAL CENTER,OLHS ST MARY MEDICAL CENTER,3,50,96.4
EDWARDS LIFE SCIENCE,EDWARDS LIFESCIENCES,2,50,95.0
JANSSEN PHARMACEUTICAL,JANSSEN PHARMACEUTICALS,2,50,97.8
CLEVELAND CLINIC LUTHERN HOSPITAL,CLEVELAND CLINIC LUTHERAN HOSPITAL,2,50,98.5
PERMANENT MEDICAL,PERMANENTE MEDICAL,1,50,97.1
MFS INVESTMENT MANGEMENT,MFS INVESTMENT MANAGEMENT,1,50,98.0
MSF INVESTMENT MANAGEMENT,MFS INVESTMENT MANAGEMENT,1,50,96.0
JANSEN PHARMACEUTICALS,JANSSEN PHARMACEUTICALS,1,50,97.8
JANSEEN PHARMACEUTICALS,JANSSEN PHARMACEUTICALS,1,50,95.7
JANSEN PHARMACEUTICAL,JANSSEN PHARMACEUTICALS,1,50,95.5
METROPOLITION TRANSPORTATION AUTHORITY MTA,METROPOLITAN TRANSPORTATION AUTHORITY MTA,1,50,96.4
UNIVARSOLUTIONS,UNIVAR SOLUTIONS,1,50,96.8
CLEVELAND CLINIC LUTHER HOSPITAL,CLEVELAND CLINIC LUTHERAN HOSPITAL,1,50,97.0
OLH S ST MARY MEDICAL CENTER,OLHS ST MARY MEDICAL CENTER,1,50,98.2
OLSH ST MARY MEDICAL CENTER,OLHS ST MARY MEDICAL CENTER,1,50,96.3
OHLS ST MARY MEDICAL CENTER,OLHS ST MARY MEDICAL CENTER,1,50,96.3
INDEPENDENCE BLUE CROSS IBX,INDEPENDENCE BLUE CROSS IBC,7,49,96.3
BUILDERS FIRST SOURCE,BUILDERS FIRSTSOURCE,7,49,97.6
THRIVENT FINANCIALS,THRIVENT FINANCIAL,6,49,97.3
INDEPENDANCE BLUE CROSS IBC,INDEPENDENCE BLUE CROSS IBC,4,49,96.3
BUILDER FIRSTSOURCE,BUILDERS FIRSTSOURCE,4,49,97.4
CLEAVELAND CLIFFS,CLEVELAND CLIFFS,1,49,97.0
CLEVELAND CLIFF,CLEVELAND CLIFFS,1,49,96.8
BUILDER FIRST SOURCE,BUILDERS FIRSTSOURCE,1,49,95.0
CONNECTIVE RX,CONNECTIVERX,7,48,96.0
CDC CENTERS FOR DISEASE CONTROL AND PREVENTION,CENTERS FOR DISEASE CONTROL AND PREVENTION,4,48,95.5
US DEPARTMENT OF VETRANS AFFAIRS,US DEPARTMENT OF VETERANS AFFAIRS,2,48,98.5
SAFRAN PASSENGER INNVOVATIONS,SAFRAN PASSENGER INNOVATIONS,2,48,98.2
SAFRAN PASSENGER INNOVATION,SAFRAN PASSENGER INNOVATIONS,2,48,98.2
SAFRAN PASSANGER INNOVATIONS,SAFRAN PASSENGER INNOVATIONS,2,48,96.4
US DEPARTMENT OF VETERANS AFFAIRS VA,US DEPARTMENT OF VETERANS AFFAIRS,1,48,95.7
US DEPARTMENT OF VETERAN AFFIARS,US DEPARTMENT OF VETERANS AFFAIRS,1,48,95.4
CENTER FOR DISEASE CONTROL AND PREVENTION,CENTERS FOR DISEASE CONTROL AND PREVENTION,1,48,98.8
TEXAS HEALTH AND HUMAN SERVICES COMMISSION TXHHSC,TEXAS HEALTH AND HUMAN SERVICES COMMISSION HHSC,1,48,97.9
TX HEALTH AND HUMAN SERVICES COMMISSION HHSC,TEXAS HEALTH AND HUMAN SERVICES COMMISSION HHSC,1,48,96.7
SAFRAN PASSENGERS INNOVATIONS,SAFRAN PASSENGER INNOVATIONS,1,48,98.2
MARYLAND HEALTH BENEFITS EXCHANGE MHBE,MARYLAND HEALTH BENEFIT EXCHANGE MHBE,3,47,98.7
MOODY S INVESTORS SERVICES,MOODY S INVESTORS SERVICE,3,47,98.0
MOODY S INVESTOR SERVICE,MOODY S INVESTORS SERVICE,3,47,98.0
MARYLAND HEALTH BENEFIT EXCHANGE MBHE,MARYLAND HEALTH BENEFIT EXCHANGE MHBE,1,47,97.3
GLOBAL PAYMENTS DIRECTOR,GLOBAL PAYMENTS DIRECT,1,47,95.7
MOODYS INVESTORS SERVICE,MOODY S INVESTORS SERVICE,1,47,98.0
MOODY S INVESTOR SERVICES,MOODY S INVESTORS SERVICE,1,47,96.0
BDP INTERNATIONAL,BP INTERNATIONAL,1,47,97.0
KIRKLAND AND ELLIES,KIRKLAND AND ELLIS,1,47,97.3
AT AND T LAB,AT AND T LABS,5,46,96.0
NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES DHHS,NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES,2,46,95.6
BRIDGESTONE AMERICA,BRIDGESTONE AMERICAS,2,46,97.4
HARRIS COUNTRY HOSPITAL DISTRICT,HARRIS COUNTY HOSPITAL DISTRICT,1,46,98.4
HARRIS COUNTY HOSPITAL DISTRCIT,HARRIS COUNTY HOSPITAL DISTRICT,1,46,96.8
NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SEVICES,NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,46,99.1
NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICE,NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,46,99.1
NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERV,NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,46,96.2
SOUTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICE,NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,46,95.3
NEW JERSEY MANUFACTURES INSURANCE,NEW JERSEY MANUFACTURERS INSURANCE,1,46,98.5
NWE JERSEY MANUFACTURERS INSURANCE,NEW JERSEY MANUFACTURERS INSURANCE,1,46,97.1
UNIVERSITY MEDICAL CENTER OF NEW ORLEANS,UNIVERSITY MEDICAL CENTER NEW ORLEANS,1,46,96.1
UOFLHEALTH JEWISH HOSPITAL,UOFL HEALTH JEWISH HOSPITAL,1,46,98.1
TMNAS SERVICES,TMNA SERVICES,4,45,96.3
BLUE CROSS AND BLUE SHIELD MINNESOTA,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,4,45,96.0
NOKIA OF AMERICAS,NOKIA OF AMERICA,2,45,97.0
WESTINGHOUSE AIRBRAKE TECHNOLOGIES,WESTINGHOUSE AIR BRAKE TECHNOLOGIES,2,45,98.6
LEXISNEXIS RISK SOLUTION,LEXISNEXIS RISK SOLUTIONS,1,45,98.0
BLUR CROSS AND BLUE SHIELD OF MINNESOTA,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,1,45,97.4
CLEVELAND CLINIC EUCLID HOSPTIAL,CLEVELAND CLINIC EUCLID HOSPITAL,1,45,96.9
PROTECH SOLUTION,PROTECH SOLUTIONS,3,44,97.0
IGT GLOBAL SOLUTION,IGT GLOBAL SOLUTIONS,3,44,97.4
STATE OF MASSACHUSETS,STATE OF MASSACHUSETTS,1,44,97.7
SATE OF MASSACHUSETTS,STATE OF MASSACHUSETTS,1,44,97.7
OHIO DPEARTMENT OF MEDICAID,OHIO DEPARTMENT OF MEDICAID,1,44,96.3
WOLTERS KULWER UNITED STATES,WOLTERS KLUWER UNITED STATES,1,44,96.4
SCHINDLER ELEVATORS,SCHINDLER ELEVATOR,1,44,97.3
CAPITAL DISTRICT PHYSICIAN S HEALTH PLAN,CAPITAL DISTRICT PHYSICIANS HEALTH PLAN,1,44,98.7
COMMUNITY REGIONALMEDICAL CENTER,COMMUNITY REGIONAL MEDICAL CENTER,1,44,98.5
JAZZ TECHNOLGIES,JAZZ TECHNOLOGIES,1,44,97.0
VIRGINIA RETIREMENT SYSTEMS,VIRGINIA RETIREMENT SYSTEM,6,43,98.1
DTTC DEPOSITORY TRUST AND CLEARING,DTCC DEPOSITORY TRUST AND CLEARING,2,43,97.1
PERSISTENT SYSTEM,PERSISTENT SYSTEMS,2,43,97.1
DTCC DEPOSITORY TRUST AND CLEANING,DTCC DEPOSITORY TRUST AND CLEARING,1,43,97.1
CARINIAL CRUISE LINES,CARNIVAL CRUISE LINES,1,43,95.2
LULU LEMON ATHLETICA CANADA,LULULEMON ATHLETICA CANADA,1,43,98.1
INTERCONTINENTAL HOTEL,INTERCONTINENTAL HOTELS,5,42,97.8
INTER CONTINENTAL HOTELS,INTERCONTINENTAL HOTELS,4,42,97.9
RAYTHEON TECHNOLGIES,RAYTHEON TECHNOLOGIES,1,42,97.6
O3 TECHNOLOGY SOLUTION,O3 TECHNOLOGY SOLUTIONS,1,42,97.8
VA JOHN J COCHRAN VETERANS HOSPITAL,JOHN J COCHRAN VETERANS HOSPITAL,1,42,95.5
PETITIONERS BRAINS TECHNOLOGY SOLUTIONS,PETITIONER BRAINS TECHNOLOGY SOLUTIONS,1,42,98.7
PETITION BRAINS TECHNOLOGY SOLUTIONS,PETITIONER BRAINS TECHNOLOGY SOLUTIONS,1,42,97.3
CHILDREN S HEALTHCARE OF ATLANTA AT ARTHUR M BLANK HOSPITAL,CHILDREN S HEALTHCARE OF ATLANTA ARTHUR M BLANK HOSPITAL,1,42,97.4
FEDERAL HOMELOAN MORTGAGE CORPORATION FREDDIE MAC,FEDERAL HOME LOAN MORTGAGE CORPORATION FREDDIE MAC,7,41,99.0
COMMONWEALTH OF KENTUCKY CABINET FOR HEALTH AND FAMILY SERVICE CHFS,COMMONWEALTH OF KENTUCKY CABINET FOR HEALTH AND FAMILY SERVICES,6,41,96.9
PUBLIX SUPER MARKET,PUBLIX SUPER MARKETS,5,41,97.4
TIAA TEACHERS INSURANCE ANNUITY ASSOCIATION,TIAA TEACHERS INSURANCE AND ANNUITY ASSOCIATION,3,41,95.6
UNIVERSITY OF PITTSBURG MEDICAL CENTER,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,2,41,98.7
UNIVERSITY PITTSBURGH MEDICAL CENTER,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,2,41,96.0
ASCENSION TECHNOOLOGIES,ASCENSION TECHNOLOGIES,1,41,97.8
ASCENTION TECHNOLOGIES,ASCENSION TECHNOLOGIES,1,41,95.5
FEDERAL HOME LOAN MORTGAGE CORPORATION FREDDIE MA,FEDERAL HOME LOAN MORTGAGE CORPORATION FREDDIE MAC,1,41,99.0
