# Client names that misspell a much more common one; built by week04_names_check.py --build-merges. Delete a row to undo a merge.
variant,target,variant_filings,target_filings,score
CAMBIA HEALTH SOLUTION,CAMBIA HEALTH SOLUTIONS,5,122,97.8
BLUECROSS AND BLUESHIELD OF NORTH CAROLINA,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,3,121,97.7
SIX CONTINENTS HOTEL,SIX CONTINENTS HOTELS,3,121,97.6
MAXIOM TECHNOLOGY,AXIOM TECHNOLOGY,3,121,97.0
MARYLAND DEPARTMENT HUMAN SERVICES,MARYLAND DEPARTMENT OF HUMAN SERVICES,2,121,95.8
BLUE CROSS AND BLUE SHEILD OF NORTH CAROLINA,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,1,121,97.7
US SOCIAL SECURITY ADMINISTRATION,SOCIAL SECURITY ADMINISTRATION,15,120,95.2
SOCIAL SECURITY ADMINISTRTION,SOCIAL SECURITY ADMINISTRATION,1,120,98.3
NATIONAL INSTITUES OF HEALTH,NATIONAL INSTITUTE OF HEALTH,4,119,96.4
NATIONAL INISTITUTE OF HEALTH,NATIONAL INSTITUTE OF HEALTH,1,119,98.2
NATIONAL INSTIUTE OF HEALTH,NATIONAL INSTITUTE OF HEALTH,1,119,98.2
GE APPLIANCE,GE APPLIANCES,12,118,96.0
GE APPLICANCES,GE APPLIANCES,2,118,96.3
FIRST CITIZEN S BANK,FIRST CITIZENS BANK,2,118,97.4
FIRST CITIZIENS BANK,FIRST CITIZENS BANK,1,118,97.4
SELECTIVE INSURANCE COMPANY OF AMER,SELECTIVE INSURANCE COMPANY OF AMERICA,4,117,95.9
JUNIPER NETWORK,JUNIPER NETWORKS,3,117,96.8
OPTION CLEARING,OPTIONS CLEARING,3,117,96.8
JUNIPER NETWORK S,JUNIPER NETWORKS,1,117,97.0
TX DEPARTMENT OF TRANSPORTATION,TEXAS DEPARTMENT OF TRANSPORTATION,1,117,95.4
VIRIGINIA DEPARTMENT OF TRANSPORTATION,VIRGINIA DEPARTMENT OF TRANSPORTATION,1,116,98.7
VIGINIA DEPARTMENT OF TRANSPORTATION,VIRGINIA DEPARTMENT OF TRANSPORTATION,1,116,98.6
ULTA SALON COSMETICS AND FRAGANCE,ULTA SALON COSMETICS AND FRAGRANCE,1,116,98.5
ULTA SALON COSMETICS AND FRAGRANCE NC,ULTA SALON COSMETICS AND FRAGRANCE,1,116,95.8
EXT GENERATION TECHNOLOGY,NEXT GENERATION TECHNOLOGY,1,116,98.0
UNITED PARCEL SERVICES UPS,UNITED PARCEL SERVICE UPS,13,115,98.0
SUMMITOMO MITSUI BANKING,SUMITOMO MITSUI BANKING,2,115,97.9
UNITED PARCEL SEVICE UPS,UNITED PARCEL SERVICE UPS,1,115,98.0
SIMITOMO MITSUI BANKING,SUMITOMO MITSUI BANKING,1,115,95.7
NEWYORK CITY HOUSING AUTHORITY,NEW YORK CITY HOUSING AUTHORITY,1,114,98.4
CUNA INSURANCE,CNA INSURANCE,1,114,96.3
THOMSONREUTERS,THOMSON REUTERS,2,113,96.6
LE BONHEUR CHILDRENS HOSPITAL,LE BONHEUR CHILDREN S HOSPITAL,2,113,98.3
ALTRIA CLIENT SERVICE,ALTRIA CLIENT SERVICES,1,113,97.7
STATE OF MARRYLAND,STATE OF MARYLAND,1,112,97.1
CONSUMER ENERGY,CONSUMERS ENERGY,12,111,96.8
ETHICON ENDOSURGERY,ETHICON ENDO SURGERY,1,111,97.4
CONSUMERS ENERGRY,CONSUMERS ENERGY,1,111,97.0
MOTOROLA SOLUTION,MOTOROLA SOLUTIONS,1,111,97.1
MUFG UNIONBANK,MUFG UNION BANK,1,111,96.6
HCA HEALTH CARE,HCA HEALTHCARE,4,110,96.6
COMCAST CABLE COMMUNICATION,COMCAST CABLE COMMUNICATIONS,4,110,98.2
BESTBUY PURCHASING,BEST BUY PURCHASING,3,110,97.3
COMAST CABLE COMMUNICATIONS,COMCAST CABLE COMMUNICATIONS,1,110,98.2
ZURICH AMERICA INSURANCE,ZURICH AMERICAN INSURANCE,3,109,98.0
SOTHERN CALIFORNIA GAS,SOUTHERN CALIFORNIA GAS,1,109,97.8
CITIGROUP GLOBALMARKETS,CITIGROUP GLOBAL MARKETS,6,108,97.9
EOG RESOOURCES,EOG RESOURCES,2,108,96.3
WALT MART STORES,WAL MART STORES,1,108,96.8
EOG RESOURCE,EOG RESOURCES,1,108,96.0
CITOGROUP GLOBAL MARKETS,CITIGROUP GLOBAL MARKETS,1,108,95.8
CONTINENTAL CASAULTY COMPANY CNA,CONTINENTAL CASUALTY COMPANY CNA,1,108,96.9
SAMMONS FINANCIALS,SAMMONS FINANCIAL,2,107,97.1
HEALTH CARE SERVICES CORPORATION HCSC,HEALTH CARE SERVICE CORPORATION HCSC,2,106,98.6
HEALTHCARE SERVICE CORPORATION HCSC,HEALTH CARE SERVICE CORPORATION HCSC,2,106,98.6
UNIVERSITY HEALTH SYSTEMS,UNIVERSITY HEALTH SYSTEM,10,105,98.0
PALO ALTO NETWORK,PALO ALTO NETWORKS,8,105,97.1
PALOALTO NETWORKS,PALO ALTO NETWORKS,2,105,97.1
REPUBLIC SERVICE,REPUBLIC SERVICES,1,105,97.0
CONOCOPHIILLIPS,CONOCOPHILLIPS,1,104,96.6
ZIONS BANACORPORATION,ZIONS BANCORPORATION,1,103,97.6
ZION BANCORPORATION,ZIONS BANCORPORATION,1,103,97.4
COREBIRDGE FINANCIAL,COREBRIDGE FINANCIAL,1,103,95.0
BLUE CROSS BLUE SHIELDS OF MASSACHUSETTS,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,1,102,98.7
BLUE CROSS BLUE SHIELD OF MASSACHUSETT,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,1,102,98.7
BLUECROSS BLUESHIELD OF MASSACHUSETTS,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,1,102,97.4
ACADEMY SPORTS AND OUTDOOR,ACADEMY SPORTS AND OUTDOORS,1,102,98.1
BIOSENSE WEBSTERS,BIOSENSE WEBSTER,2,101,97.0
ACCENTURE FEDARAL SERVICES,ACCENTURE FEDERAL SERVICES,1,101,96.2
PLYMOUTHROCK ASSURANCE,PLYMOUTH ROCK ASSURANCE,2,100,97.8
PLYMMOUTH ROCK ASSURANCE,PLYMOUTH ROCK ASSURANCE,1,100,97.9
PLYMOUTH ROCK ASSURNCE,PLYMOUTH ROCK ASSURANCE,1,100,97.8
DOLLARGENERAL,DOLLAR GENERAL,1,100,96.3
CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM VA,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,9,99,96.6
GM FINANCIALS,GM FINANCIAL,9,99,96.0
CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEMS,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,3,99,98.9
CENTRAL ARKANSAS VETERAN S HEALTHCARE SYSTEM,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,1,99,98.9
CENTRAL ARKANSAS VETERAN HEALTHCARE SYSTEM,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,1,99,98.8
CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTE,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,1,99,98.8
HARFORD HOSPITAL,HARTFORD HOSPITAL,1,99,97.0
GM FINANACIAL,GM FINANCIAL,1,99,96.0
INTERNATIONAL BUSINESS MACHINE,INTERNATIONAL BUSINESS MACHINES,3,98,98.4
BROWN BROTHERS HARRISMAN,BROWN BROTHERS HARRIMAN,1,98,97.9
BROWN BRORTHERS HARRIMAN,BROWN BROTHERS HARRIMAN,1,98,97.9
SECURIAN FINANCIALS,SECURIAN FINANCIAL,1,98,97.3
CONOCO PHILIPS,CONOCO PHILLIPS,9,97,96.6
CONCO PHILLIPS,CONOCO PHILLIPS,1,97,96.6
CONOCO PHILLIP,CONOCO PHILLIPS,1,97,96.6
PHILIPS HEALTH CARE,PHILIPS HEALTHCARE,2,96,97.3
EARLY WARNING SERVICE,EARLY WARNING SERVICES,1,96,97.7
EARLY WARMING SERVICES,EARLY WARNING SERVICES,1,96,95.5
EARLY WARNINGS SERVICE,EARLY WARNING SERVICES,1,96,95.5
STATE OF MISSORI,STATE OF MISSOURI,1,95,97.0
CHEVRON PHILLIPS CHEMICALS,CHEVRON PHILLIPS CHEMICAL,10,94,98.0
CHEVRON PHILIPS CHEMICAL,CHEVRON PHILLIPS CHEMICAL,3,94,98.0
DAIMLER TRUCKS FINANCIAL SERVICES,DAIMLER TRUCK FINANCIAL SERVICES,3,94,98.5
CHEVRON PHILLLIPS CHEMICAL,CHEVRON PHILLIPS CHEMICAL,1,94,98.0
DAIMLER TRUCK FINANCIAL SERVICE,DAIMLER TRUCK FINANCIAL SERVICES,1,94,98.4
VOYA SERVICE,VOYA SERVICES,9,93,96.0
TRACEFONE WIRELESS,TRACFONE WIRELESS,1,93,97.1
KIMBERLY CLARKE,KIMBERLY CLARK,1,93,96.6
BLUE CROSS AND BLUE SHIELD ASOCIATION,BLUE CROSS AND BLUE SHIELD ASSOCIATION,1,93,98.7
JET BLUE AIRWAYS,JETBLUE AIRWAYS,6,92,96.8
SC DEPARTMENT OF HEALTH AND HUMAN SERVICES,NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,5,92,97.6
BAYER CROP SCIENCES,BAYER CROP SCIENCE,3,92,97.3
BAYER CROPSCIENCE,BAYER CROP SCIENCE,3,92,97.1
NE DEPARTMENT OF HEALTH AND HUMAN SERVICES,NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,3,92,97.6
PA DEPARTMENT OF HEALTH AND HUMAN SERVICES,NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,2,92,95.2
NC DEPARTMENT OF HEALTH AND HUMAN SERVICE,NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,92,98.8
TX DEPARTMENT OF HEALTH AND HUMAN SERVICES,NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,92,95.2
ROYAL BANK OF CANDA,ROYAL BANK OF CANADA,1,92,97.4
TRAVELER S INSURANCE,TRAVELERS INSURANCE,1,92,97.4
OTSUKA AMERICA PHARMACEUTICALS,OTSUKA AMERICA PHARMACEUTICAL,11,91,98.3
PACIFICA INVESTMENT MANAGEMENT,PACIFIC INVESTMENT MANAGEMENT,3,91,98.3
AMERICA FAMILY LIFE ASSURANCE COMPANY OF COLUMBUS,AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLUMBUS,1,91,99.0
AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLUMBU,AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLUMBUS,1,91,99.0
AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLAMBUS,AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLUMBUS,1,91,98.0
AMERICAN FAMILY LIFE INSURANCE COMPANY OF COLUMBUS,AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLUMBUS,1,91,96.0
VERISK ANALYSTICS,VERISK ANALYTICS,1,91,97.0
SOLAR TURBINE,SOLAR TURBINES,1,91,96.3
SOLARTURBINES,SOLAR TURBINES,1,91,96.3
GUARDIAN LIFE INSURANCE COMPANY OFAMERICA,GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,1,90,98.8
SUPREMENT COURT OF VIRGINIA,SUPREME COURT OF VIRGINIA,1,90,96.2
GENWORTH NORTH AMERICAN,GENWORTH NORTH AMERICA,1,90,97.8
