null,seed,avg_clustering,transitivity,triangles,assortativity,neighbour_degree_edge,neighbour_degree_node,friend_at_least,unbeaten,components,giant_size,hub_share,avg_path_giant
swap,2026091200,0.141986649864275,0.11491515331944031,1158,-0.12033039939007376,22.081589958158997,23.538703940667524,0.7654643598702731,1,18,286,0.03695955369595537,2.6450496871549505
swap,2026091201,0.12689040600744267,0.11154113327379181,1124,-0.13378289867409293,22.081589958158997,24.223973618078066,0.7608310106109755,2,18,286,0.03695955369595537,2.644755244755245
swap,2026091202,0.1455723052297222,0.11630445569117794,1172,-0.11195530824977765,22.081589958158997,24.32264839010078,0.7666686282584043,1,18,286,0.03695955369595537,2.6286590602380078
swap,2026091203,0.1406588215524212,0.11124342562270517,1121,-0.1278309830217433,22.081589958158997,24.94813490231702,0.7682540853114788,1,18,286,0.03695955369595537,2.6102564102564103
swap,2026091204,0.15639085046231418,0.11183884092487843,1127,-0.11900108948147779,22.081589958158997,23.891417691261143,0.766369116353524,1,18,286,0.03695955369595537,2.628708133971292
swap,2026091205,0.15326831838990476,0.10866329264662102,1095,-0.14175144618997734,22.081589958158997,25.25930976495338,0.7634590164214139,2,18,286,0.03695955369595537,2.6145012881854988
swap,2026091206,0.16164662287668533,0.1177929939466111,1187,-0.11634978159997693,22.081589958158997,24.09528703511515,0.7634676048515177,1,18,286,0.03695955369595537,2.644264507422402
swap,2026091207,0.13963005117718025,0.1231517316661705,1241,-0.10038636359972102,22.081589958158997,23.219383611735626,0.7577486941642715,1,18,286,0.03695955369595537,2.6560422034106246
swap,2026091208,0.14814223103937768,0.11680063510965565,1177,-0.11326560712557725,22.081589958158997,24.362268934290313,0.7650931640556606,1,18,286,0.03695955369595537,2.623236412710097
swap,2026091209,0.13660829219664633,0.10598392378684132,1068,-0.14384850934611212,22.081589958158997,25.30458098122988,0.7676554220652079,2,18,286,0.03695955369595537,2.603361550729972
swap,2026091210,0.13435047078699314,0.11799146571400218,1189,-0.11355662216607296,22.081589958158997,23.821200176580938,0.7664164150565982,1,18,286,0.03695955369595537,2.647405226352595
swap,2026091211,0.1310618050568424,0.10856405676292548,1094,-0.13321841723875896,22.081589958158997,24.27372873102498,0.7682579066042191,2,18,286,0.03695955369595537,2.624561403508772
swap,2026091212,0.14441035127320212,0.10985412325096755,1107,-0.13956079025699916,22.081589958158997,24.67184896898539,0.7671285609603107,2,18,286,0.03695955369595537,2.6147711937185623
swap,2026091213,0.15725006050536408,0.1151136250868314,1160,-0.11630152282441673,22.081589958158997,24.456215128513705,0.7627598270540158,1,18,286,0.03695955369595537,2.635725677830941
swap,2026091214,0.14489064777863558,0.12126624987595515,1222,-0.10767197632207968,22.081589958158997,23.52939279266019,0.7631263433014088,1,18,286,0.03695955369595537,2.644092749355907
swap,2026091215,0.13948882273801505,0.12285402401508386,1238,-0.10176246989673764,22.081589958158997,23.2333363593411,0.7533950615541058,1,18,286,0.03695955369595537,2.678027235921973
swap,2026091216,0.14548413814867386,0.1133273791803116,1142,-0.12299486875581823,22.081589958158997,25.037082710438764,0.7635837910065164,1,18,286,0.03695955369595537,2.6072629125260702
swap,2026091217,0.13491320962190695,0.11253349211074724,1134,-0.12321130205226727,22.081589958158997,24.40673180531147,0.7619605329013541,1,18,286,0.03695955369595537,2.6347932768985403
swap,2026091218,0.1453384283189393,0.11044953855314081,1113,-0.131447466414436,22.081589958158997,25.542468225846733,0.7640002999322734,1,18,286,0.03695955369595537,2.613029076186971
swap,2026091219,0.14842164799458107,0.1054877443683636,1063,-0.12748001010858334,22.081589958158997,23.816010568456583,0.7641489058355968,1,18,286,0.03695955369595537,2.629321555637345
swap,2026091220,0.15324264398014573,0.11015183090205419,1110,-0.13478755863801464,22.081589958158997,25.287375063388208,0.7632710697146454,1,18,286,0.03695955369595537,2.609078640657588
swap,2026091221,0.14142835827058814,0.11898382455095763,1199,-0.11077223705499933,22.081589958158997,23.886945491776558,0.7608311212006111,1,18,286,0.03695955369595537,2.640264998159735
swap,2026091222,0.1409686731204683,0.11312890741292052,1140,-0.12160560097455671,22.081589958158997,24.743547384836543,0.7664720462835207,1,18,286,0.03695955369595537,2.6209054103790947
swap,2026091223,0.12673890938623023,0.10648010320531905,1073,-0.1252586440457036,22.081589958158997,24.329714280210414,0.766698802719053,1,18,286,0.03695955369595537,2.627383143172617
swap,2026091224,0.14777471716554094,0.125434156991168,1264,-0.1036650355634959,22.081589958158997,23.480278456050378,0.760456886380487,2,18,286,0.03695955369595537,2.658594037541406
swap,2026091225,0.1398177839055041,0.1106480103205319,1115,-0.1360832336424326,22.081589958158997,24.353178042026784,0.7647258261617922,2,18,286,0.03695955369595537,2.626082689240584
swap,2026091226,0.15284896367393858,0.11898382455095763,1199,-0.1168996391639286,22.081589958158997,23.664503603260957,0.7622774143328214,1,18,286,0.03695955369595537,2.6333456017666546
swap,2026091227,0.1354890299243945,0.1177929939466111,1187,-0.10797030329826628,22.081589958158997,23.562012196401525,0.757941259476757,1,18,286,0.03695955369595537,2.6320206109679796
swap,2026091228,0.14384872516011316,0.11193807680857398,1128,-0.13010791979587288,22.081589958158997,24.205901784115323,0.7660409560555731,1,18,286,0.03695955369595537,2.6265488897067844
swap,2026091229,0.1331040301906089,0.11660216334226456,1175,-0.11381838946380532,22.081589958158997,23.76511785931669,0.7614981334431008,1,18,286,0.03695955369595537,2.628560912771439
swap,2026091230,0.13612458540478742,0.11471668155204923,1156,-0.12095337631093322,22.081589958158997,23.982930937105966,0.7615412010934423,1,18,286,0.03695955369595537,2.649932523616734
swap,2026091231,0.14638109381526399,0.11094571797161853,1118,-0.12622966910544786,22.081589958158997,24.044794445012403,0.7633112426691125,2,18,286,0.03695955369595537,2.6374677953625323
swap,2026091232,0.15108888589353928,0.11412126624987595,1150,-0.12024119377464465,22.081589958158997,24.712916392180173,0.7647681518332383,2,18,286,0.03695955369595537,2.6180836707152495
swap,2026091233,0.1498929842189085,0.11164036915748735,1125,-0.13383846938534344,22.081589958158997,24.870107089789848,0.7625971965422449,1,18,286,0.03695955369595537,2.6023064654643604
swap,2026091234,0.13906153153219714,0.12136548575965068,1223,-0.11308427112044493,22.081589958158997,23.328904065080255,0.7606250211882749,2,18,286,0.03695955369595537,2.6569746043430253
swap,2026091235,0.14847163006255376,0.11620521980748238,1171,-0.12439437324704614,22.081589958158997,23.805173549282564,0.7634808733151445,2,18,286,0.03695955369595537,2.6542510121457488
swap,2026091236,0.12273892871687839,0.1037014984618438,1045,-0.1408374542286208,22.081589958158997,25.30067231302107,0.7690981246435299,1,18,286,0.03695955369595537,2.6005152741994846
swap,2026091237,0.13787930832539716,0.11590751215639575,1168,-0.1185111897901905,22.081589958158997,24.23458585447552,0.7599136096644842,1,18,286,0.03695955369595537,2.63214329530119
swap,2026091238,0.1361751482411882,0.11640369157487347,1173,-0.1162825117916205,22.081589958158997,23.85139344935764,0.765201455811379,1,18,286,0.03695955369595537,2.628757207704576
swap,2026091239,0.12997058262119546,0.10578545201945024,1066,-0.13835139609373384,22.081589958158997,25.323793575620638,0.7644961154212012,3,18,286,0.03695955369595537,2.6074346705925655
swap,2026091240,0.14083864810373284,0.12196090106182396,1229,-0.10812531633491233,22.081589958158997,23.69418791830224,0.7600810537363414,1,18,286,0.03695955369595537,2.65138019874862
swap,2026091241,0.1380888839120543,0.11441897390096259,1153,-0.12474973332162131,22.081589958158997,24.440110012150274,0.7622063820059155,1,18,286,0.03695955369595537,2.6225493804441173
swap,2026091242,0.1544936813841295,0.11491515331944031,1158,-0.11756063815038104,22.081589958158997,24.040722935072445,0.7651250073828911,1,18,286,0.03695955369595537,2.638179364495154
swap,2026091243,0.15841044465550505,0.110846482087923,1117,-0.13373317751139455,22.081589958158997,24.940281135920433,0.7651045771228651,1,18,286,0.03695955369595537,2.6197276407802725
swap,2026091244,0.1420174745459219,0.1160067480400913,1169,-0.11605876655948054,22.081589958158997,23.635665206888962,0.7629585907830354,1,18,286,0.03695955369595537,2.6427677585572322
